Players,Scores,Innings,Team
Abdur Razzak,1,2,Bangladesh
Imrul Kayes,74,2,Bangladesh
Junaid Siddique,12,2,Bangladesh
Mahmudullah,32,2,Bangladesh
Mushfiqur Rahim,7,2,Bangladesh
Naeem Islam,0,2,Bangladesh
Raqibul Hasan,0,2,Bangladesh
Shafiul Islam,28,2,Bangladesh
Shakib Al Hasan,34,2,Bangladesh
Tamim Iqbal,39,2,Bangladesh
