Players,Scores,Innings,Team
A Shahzad,1,1,England
AJ Strauss,19,1,England
EJG Morgan,66,1,England
GP Swann,12,1,England
IJL Trott,68,1,England
IR Bell,5,1,England
JM Anderson,3,1,England
MJ Prior,16,1,England
PD Collingwood,17,1,England
RS Bopara,16,1,England
TT Bresnan,2,1,England
