,Players,Scores,Innings,Team
0,Abdur Razzak,2,2,Bangladesh
1,Imrul Kayes,44,2,Bangladesh
2,Junaid Siddique,37,2,Bangladesh
3,Mahmudullah,6,2,Bangladesh
4,Mushfiqur Rahim,25,2,Bangladesh
5,Naeem Islam,2,2,Bangladesh
6,Raqibul Hasan,31,2,Bangladesh
7,Rubel Hossain,1,2,Bangladesh
8,Shafiul Islam,0,2,Bangladesh
9,Shakib Al Hasan,58,2,Bangladesh
10,Tamim Iqbal,77,2,Bangladesh
