Players,Scores
AG Cremer,37
SC Williams,28
E Chigumbura,24
P Utseya,24
BRM Taylor,17
CK Coventry,15
T Taibu,8
RW Chakabva,7
RW Price,6
CB Mpofu,3
CR Ervine,0
