,Players,Scores,Innings,Team
0,G Gambhir,56,1,India
1,Harbhajan Singh,0,1,India
2,MS Dhoni,31,1,India
3,PP Chawla,7,1,India
4,SR Tendulkar,121,1,India
5,V Kohli,8,1,India
6,V Sehwag,36,1,India
7,YK Pathan,14,1,India
8,Yuvraj Singh,61,1,India
9,Z Khan,4,1,India
