Players,Scores,Balls
HM Amla,38,51
AB de Villiers,27,45
GC Smith,23,41
DW Steyn,22,33
F du Plessis,17,38
JH Kallis,15,20
MN van Wyk,14,37
RJ Peterson,3,16
Imran Tahir,1,1
M Morkel,1,3
JP Duminy,0,4
