,Players,Scores
10,W Barresi,45
1,B Zuiderent,15
9,TN de Grooth,13
0,AN Kervezee,12
7,RN ten Doeschate,12
8,TLW Cooper,9
3,BP Loots,8
6,PW Borren,3
5,PM Seelaar,2
4,Mudassar Bukhari,1
2,BA Westdijk,0
