Players,Scores,Innings,Team
A Nehra,0,1,India
G Gambhir,73,1,India
Harbhajan Singh,3,1,India
MM Patel,0,1,India
MS Dhoni,12,1,India
SR Tendulkar,115,1,India
V Kohli,1,1,India
V Sehwag,79,1,India
YK Pathan,0,1,India
Yuvraj Singh,12,1,India
Z Khan,0,1,India
