Players,Scores,Balls
LPC Silva,63,81
KC Sangakkara,57,63
TM Dilshan,48,56
WU Tharanga,35,45
KMDN Kulasekara,24,14
AD Mathews,18,20
HMRKB Herath,8,10
NLTC Perera,8,6
DPMD Jayawardene,2,10
M Muralitharan,1,1
TT Samaraweera,1,4
