Players,Scores
PW Borren,41
ES Szwarczynski,32
TLW Cooper,30
W Barresi,27
Mudassar Bukhari,22
AN Kervezee,11
RN ten Doeschate,11
BP Kruger,10
TN de Grooth,5
B Zuiderent,0
