,Players,Scores,Innings,Team
0,CO Obuya,56,1,Kenya
1,DO Obuya,54,1,Kenya
2,E Otieno,5,1,Kenya
3,JK Kamande,1,1,Kenya
4,MA Ouma,1,1,Kenya
5,NN Odhiambo,9,1,Kenya
6,PJ Ongondo,0,1,Kenya
7,SO Ngoche,0,1,Kenya
8,SO Tikolo,11,1,Kenya
9,SR Waters,3,1,Kenya
10,T Mishra,1,1,Kenya
