Players,Scores
Misbah-ul-Haq,82
Umar Akmal,74
Kamran Akmal,61
Younis Khan,52
Abdur Rehman,19
Abdul Razzaq,9
Mohammad Hafeez,9
Shahid Afridi,8
Ahmed Shehzad,2
