Players,Scores
TM Odoyo,53
T Mishra,52
CO Obuya,32
JK Kamande,27
SO Tikolo,13
E Otieno,10
NN Odhiambo,4
JO Ngoche,3
DO Obuya,2
SR Waters,2
MA Ouma,0
