Players,Scores
R Gunasekera,28
ZE Surkari,28
AS Hansra,20
Rizwan Cheema,14
HS Baidwan,13
TG Gordon,9
Khurram Chohan,8
NR Kumar,2
WD Balaji Rao,1
A Bagai,0
JM Davison,0
