,Players,Scores,Innings,Team
0,AC Botha,26,2,Ireland
1,AR White,10,2,Ireland
2,DT Johnston,6,2,Ireland
3,EC Joyce,18,2,Ireland
4,GH Dockrell,5,2,Ireland
5,JF Mooney,4,2,Ireland
6,KJ O'Brien,38,2,Ireland
7,NJ O'Brien,38,2,Ireland
8,PR Stirling,9,2,Ireland
9,WB Rankin,3,2,Ireland
10,WTS Porterfield,21,2,Ireland
