Players,Scores,Balls
DS Smith,114,135
KA Pollard,97,56
S Chanderpaul,35,62
RR Sarwan,12,19
NO Miller,5,6
DJG Sammy,4,3
AD Russell,3,7
DC Thomas,2,8
SJ Benn,2,2
KAJ Roach,1,2
DM Bravo,0,3
