,Players,Scores,Innings,Team
0,CH Gayle,88,1,West Indies
1,DC Thomas,14,1,West Indies
2,DJG Sammy,6,1,West Indies
3,DM Bravo,31,1,West Indies
4,DS Smith,55,1,West Indies
5,KA Pollard,61,1,West Indies
6,NO Miller,11,1,West Indies
7,RR Sarwan,55,1,West Indies
8,S Chanderpaul,6,1,West Indies
9,SJ Benn,3,1,West Indies
