Players,Scores,Balls
RS Bopara,63,100
IJL Trott,61,95
GP Swann,19,21
MJ Prior,10,19
IR Bell,7,7
MH Yardy,5,18
JM Anderson,2,6
KP Pietersen,2,3
AJ Strauss,1,4
TT Bresnan,1,4
SCJ Broad,0,3
