Players,Scores,Innings,Team
Abdul Razzaq,62,2,Pakistan
Abdur Rehman,5,2,Pakistan
Ahmed Shehzad,10,2,Pakistan
Kamran Akmal,8,2,Pakistan
Misbah-ul-Haq,12,2,Pakistan
Mohammad Hafeez,5,2,Pakistan
Shahid Afridi,17,2,Pakistan
Shoaib Akhtar,0,2,Pakistan
Umar Akmal,39,2,Pakistan
Umar Gul,34,2,Pakistan
Younis Khan,0,2,Pakistan
