,Players,Scores,Innings,Team
0,Abdur Razzak,2,1,Bangladesh
1,Imrul Kayes,5,1,Bangladesh
2,Junaid Siddique,27,1,Bangladesh
3,Mohammad Ashraful,11,1,Bangladesh
4,Mushfiqur Rahim,0,1,Bangladesh
5,Naeem Islam,1,1,Bangladesh
6,Raqibul Hasan,4,1,Bangladesh
7,Rubel Hossain,0,1,Bangladesh
8,Shafiul Islam,0,1,Bangladesh
9,Shakib Al Hasan,8,1,Bangladesh
10,Tamim Iqbal,0,1,Bangladesh
