Players,Scores,Innings,Team
G Gambhir,28,2,India
MS Dhoni,19,2,India
SR Tendulkar,27,2,India
V Kohli,12,2,India
V Sehwag,43,2,India
YK Pathan,11,2,India
Yuvraj Singh,51,2,India
