Players,Scores,Balls
Misbah-ul-Haq,85,92
Younis Khan,72,76
Kamran Akmal,41,49
Mohammad Hafeez,32,31
Shahid Afridi,17,13
Ahmed Shehzad,16,24
Umar Akmal,10,15
Abdul Razzaq,4,5
