,Players,Scores
9,SR Waters,18
6,RR Patel,16
1,CO Obuya,13
0,AA Obanda,9
5,NN Odhiambo,4
10,TM Odoyo,3
3,JK Kamande,2
4,MA Ouma,2
8,SO Tikolo,2
2,E Otieno,0
7,SO Ngoche,0
