,Players,Scores
4,KP Pietersen,100
2,IJL Trott,96
3,IR Bell,73
0,AJ Strauss,25
7,PD Collingwood,15
1,GP Swann,8
6,MJ Prior,5
8,TT Bresnan,3
5,MH Yardy,2
