Players,Scores
DM Bravo,77
DJ Bravo,44
DS Smith,36
S Chanderpaul,31
DC Thomas,20
SJ Benn,6
KAJ Roach,3
RR Sarwan,3
CH Gayle,2
DJG Sammy,0
KA Pollard,0
