Players,Scores,Balls
WTS Porterfield,81,105
NJ O'Brien,53,81
AR Cusack,24,30
DT Johnston,21,22
KJ O'Brien,9,13
AR White,5,10
JF Mooney,5,17
EC Joyce,4,5
GH Dockrell,4,11
WB Rankin,1,1
PR Stirling,0,1
