Players,Scores
A Bagai,84
AS Hansra,79
H Patel,32
Khurram Chohan,22
JM Davison,20
WD Balaji Rao,11
HS Baidwan,8
R Gunasekera,2
Rizwan Cheema,2
ZE Surkari,1
