,Players,Scores
4,RN ten Doeschate,124
5,TLW Cooper,47
3,PW Borren,37
6,TN de Grooth,29
7,W Barresi,29
0,AN Kervezee,16
2,Mudassar Bukhari,6
1,B Zuiderent,3
