Players,Scores,Innings,Team
A Bagai,66,2,Canada
AS Hansra,77,2,Canada
JM Davison,4,2,Canada
R Gunasekera,20,2,Canada
Rizwan Cheema,17,2,Canada
TG Gordon,5,2,Canada
ZE Surkari,10,2,Canada
