,Players,Scores
2,DPMD Jayawardene,102
3,KC Sangakkara,95
6,TM Dilshan,53
0,AD Mathews,23
8,WU Tharanga,21
7,TT Samaraweera,18
5,NLTC Perera,11
4,KMDN Kulasekara,7
1,CK Kapugedera,2
