Players,Scores,Innings,Team
AC Botha,1,2,Ireland
AR Cusack,2,2,Ireland
EC Joyce,86,2,Ireland
GC Wilson,61,2,Ireland
GH Dockrell,19,2,Ireland
JF Mooney,7,2,Ireland
KJ O'Brien,6,2,Ireland
NJ O'Brien,27,2,Ireland
PR Stirling,5,2,Ireland
WB Rankin,5,2,Ireland
WTS Porterfield,12,2,Ireland
