,Players,Scores
1,AS Hansra,46
10,ZE Surkari,28
0,A Bagai,16
8,TG Gordon,14
4,Khurram Chohan,9
6,R Gunasekera,9
5,NR Kumar,7
7,Rizwan Cheema,6
9,WD Balaji Rao,2
2,H Osinde,1
3,HS Baidwan,0
