Players,Scores,Innings,Team
BB McCullum,7,1,New Zealand
JDP Oram,26,1,New Zealand
JEC Franklin,1,1,New Zealand
JM How,4,1,New Zealand
KD Mills,7,1,New Zealand
LRPL Taylor,141,1,New Zealand
MJ Guptill,62,1,New Zealand
NL McCullum,21,1,New Zealand
SB Styris,29,1,New Zealand
