,Players,Scores,Innings,Team
0,BJ Haddin,29,1,Australia
1,CL White,23,1,Australia
2,DJ Hussey,15,1,Australia
3,MG Johnson,7,1,Australia
4,MJ Clarke,65,1,Australia
5,RT Ponting,29,1,Australia
6,SPD Smith,11,1,Australia
7,SR Watson,83,1,Australia
