,Players,Scores,Innings,Team
0,CO Obuya,49,2,Kenya
1,E Otieno,0,2,Kenya
2,JK Kamande,2,2,Kenya
3,MA Ouma,18,2,Kenya
4,NN Odhiambo,0,2,Kenya
5,RR Patel,1,2,Kenya
6,SO Ngoche,0,2,Kenya
7,SO Tikolo,15,2,Kenya
8,SR Waters,21,2,Kenya
9,T Mishra,6,2,Kenya
10,TM Odoyo,0,2,Kenya
