Players,Scores,Balls
T Taibu,99,100
CR Ervine,86,81
SC Williams,30,25
AG Cremer,26,23
P Utseya,23,29
GA Lamb,11,13
RW Price,10,6
E Chigumbura,5,8
CB Mpofu,4,5
CK Coventry,4,10
BRM Taylor,0,1
