Players,Scores
Rizwan Cheema,39
A Bagai,24
HS Baidwan,20
AS Hansra,10
ZE Surkari,10
WD Balaji Rao,6
H Osinde,4
Khurram Chohan,4
TG Gordon,4
R Gunasekera,1
JM Davison,0
